Timestamp, APAddress, DeviceAddress, WifiStrength(dBm) 
1521713762823, 64:f6:9d:37:9d:e4, 02:00:00:00:00:00, -47
1521713762824, 64:f6:9d:37:9d:e5, 02:00:00:00:00:00, -48
1521713762824, 64:f6:9d:37:9d:e6, 02:00:00:00:00:00, -48
1521713762826, 64:f6:9d:37:9d:e0, 02:00:00:00:00:00, -48
1521713762826, 64:f6:9d:3a:8f:f0, 02:00:00:00:00:00, -51
1521713762827, 64:f6:9d:3a:8f:f5, 02:00:00:00:00:00, -51
1521713762828, 64:f6:9d:3a:8f:f4, 02:00:00:00:00:00, -52
1521713762828, 64:f6:9d:3a:8f:ff, 02:00:00:00:00:00, -58
1521713762829, 64:f6:9d:3a:8f:fb, 02:00:00:00:00:00, -58
1521713762830, 64:f6:9d:3a:8f:fa, 02:00:00:00:00:00, -58
1521713762830, 64:f6:9d:3a:8f:f9, 02:00:00:00:00:00, -58
1521713762831, 64:f6:9d:3a:8f:fd, 02:00:00:00:00:00, -59
1521713762832, 64:f6:9d:3a:8f:fc, 02:00:00:00:00:00, -59
1521713762833, 64:f6:9d:37:9d:eb, 02:00:00:00:00:00, -61
1521713762833, 64:f6:9d:37:9d:ef, 02:00:00:00:00:00, -61
1521713762834, 64:f6:9d:37:9d:e9, 02:00:00:00:00:00, -61
1521713762834, 64:f6:9d:37:9d:ea, 02:00:00:00:00:00, -62
1521713762835, 64:f6:9d:37:a5:74, 02:00:00:00:00:00, -62
1521713762837, 64:f6:9d:37:9d:ec, 02:00:00:00:00:00, -62
1521713762838, 64:f6:9d:37:9d:ed, 02:00:00:00:00:00, -62
1521713762838, 64:f6:9d:48:ab:34, 02:00:00:00:00:00, -63
1521713762839, 64:f6:9d:48:ab:35, 02:00:00:00:00:00, -63
1521713762840, 64:f6:9d:48:ab:30, 02:00:00:00:00:00, -63
1521713762840, 64:f6:9d:37:a5:70, 02:00:00:00:00:00, -63
1521713762841, 64:f6:9d:37:a5:75, 02:00:00:00:00:00, -63
1521713762842, 64:f6:9d:37:a5:73, 02:00:00:00:00:00, -63
1521713762842, 64:f6:9d:36:82:10, 02:00:00:00:00:00, -69
1521713762843, 64:f6:9d:21:59:66, 02:00:00:00:00:00, -70
1521713762844, 64:f6:9d:36:82:14, 02:00:00:00:00:00, -70
1521713762845, 64:f6:9d:36:82:15, 02:00:00:00:00:00, -70
1521713762846, 64:f6:9d:36:82:13, 02:00:00:00:00:00, -70
1521713762847, 64:f6:9d:21:59:60, 02:00:00:00:00:00, -71
1521713762848, 64:f6:9d:21:59:64, 02:00:00:00:00:00, -72
1521713762848, 64:f6:9d:21:59:65, 02:00:00:00:00:00, -72
1521713762849, 64:f6:9d:21:59:62, 02:00:00:00:00:00, -72
1521713762849, 64:f6:9d:3a:8a:b0, 02:00:00:00:00:00, -72
1521713762850, 64:f6:9d:3a:8a:b3, 02:00:00:00:00:00, -72
