Timestamp, APAddress, DeviceAddress, WifiStrength(dBm) 
1521717012518, 64:f6:9d:3a:8f:50, 02:00:00:00:00:00, -47
1521717012521, 64:f6:9d:3a:8f:54, 02:00:00:00:00:00, -47
1521717012522, 64:f6:9d:3a:8f:55, 02:00:00:00:00:00, -47
1521717012523, 64:f6:9d:3a:8f:53, 02:00:00:00:00:00, -47
1521717012524, 64:f6:9d:3a:8a:b4, 02:00:00:00:00:00, -51
1521717012525, 64:f6:9d:3a:8a:b0, 02:00:00:00:00:00, -56
1521717012525, 64:f6:9d:3a:8a:b5, 02:00:00:00:00:00, -56
1521717012525, 64:f6:9d:25:ef:05, 02:00:00:00:00:00, -59
1521717012526, 64:f6:9d:25:ef:00, 02:00:00:00:00:00, -60
1521717012527, 64:f6:9d:25:ef:04, 02:00:00:00:00:00, -60
1521717012527, 64:f6:9d:43:22:94, 02:00:00:00:00:00, -63
1521717012528, 64:f6:9d:3a:8f:5d, 02:00:00:00:00:00, -63
1521717012528, 64:f6:9d:3a:8f:5f, 02:00:00:00:00:00, -63
1521717012529, 64:f6:9d:3a:8f:5b, 02:00:00:00:00:00, -63
1521717012529, 64:f6:9d:3a:8f:5a, 02:00:00:00:00:00, -63
1521717012530, 64:f6:9d:3a:8f:59, 02:00:00:00:00:00, -63
1521717012531, 64:f6:9d:3a:8f:5c, 02:00:00:00:00:00, -63
1521717012532, 64:f6:9d:43:22:90, 02:00:00:00:00:00, -64
1521717012532, 64:f6:9d:43:22:95, 02:00:00:00:00:00, -64
1521717012533, 64:f6:9d:43:22:93, 02:00:00:00:00:00, -64
1521717012533, 64:f6:9d:36:82:90, 02:00:00:00:00:00, -64
1521717012534, 64:f6:9d:36:82:95, 02:00:00:00:00:00, -65
1521717012534, 64:f6:9d:36:82:94, 02:00:00:00:00:00, -65
1521717012534, 64:f6:9d:36:82:9f, 02:00:00:00:00:00, -66
1521717012535, 64:f6:9d:36:82:9b, 02:00:00:00:00:00, -66
1521717012535, 64:f6:9d:36:82:9a, 02:00:00:00:00:00, -66
1521717012535, 64:f6:9d:3a:8a:bf, 02:00:00:00:00:00, -70
1521717012536, 64:f6:9d:3a:8a:bb, 02:00:00:00:00:00, -70
1521717012536, 64:f6:9d:36:85:ec, 02:00:00:00:00:00, -70
1521717012536, 64:f6:9d:36:85:ef, 02:00:00:00:00:00, -70
1521717012537, 64:f6:9d:36:85:eb, 02:00:00:00:00:00, -70
1521717012537, 64:f6:9d:3a:8a:ba, 02:00:00:00:00:00, -71
1521717012537, 64:f6:9d:36:85:ea, 02:00:00:00:00:00, -71
1521717012538, 64:f6:9d:43:22:9b, 02:00:00:00:00:00, -71
1521717012538, 64:f6:9d:43:22:9a, 02:00:00:00:00:00, -71
1521717012538, 64:f6:9d:43:22:99, 02:00:00:00:00:00, -71
1521717012539, 64:f6:9d:36:85:ed, 02:00:00:00:00:00, -71
1521717012539, 64:f6:9d:36:85:e9, 02:00:00:00:00:00, -71
1521717012539, 64:f6:9d:25:ef:0b, 02:00:00:00:00:00, -72
1521717012540, 64:f6:9d:25:ef:0a, 02:00:00:00:00:00, -72
1521717012540, 64:f6:9d:43:22:9f, 02:00:00:00:00:00, -72
1521717012540, 64:f6:9d:3a:91:04, 02:00:00:00:00:00, -72
1521717012541, 64:f6:9d:25:ef:0f, 02:00:00:00:00:00, -73
1521717012541, 64:f6:9d:25:ef:0d, 02:00:00:00:00:00, -73
1521717012541, 64:f6:9d:25:ef:09, 02:00:00:00:00:00, -73
1521717012542, 64:f6:9d:25:ef:0c, 02:00:00:00:00:00, -74
1521717012542, 64:f6:9d:36:85:e5, 02:00:00:00:00:00, -74
1521717012542, 64:f6:9d:36:85:e4, 02:00:00:00:00:00, -74
1521717012543, 64:f6:9d:3a:91:00, 02:00:00:00:00:00, -74
1521717012543, 64:f6:9d:3a:91:05, 02:00:00:00:00:00, -74
1521717012543, 64:f6:9d:3a:91:06, 02:00:00:00:00:00, -74
1521717012543, 64:f6:9d:43:22:15, 02:00:00:00:00:00, -75
1521717012544, 64:f6:9d:43:22:14, 02:00:00:00:00:00, -75
1521717012544, 64:f6:9d:43:27:64, 02:00:00:00:00:00, -75
1521717012544, 64:f6:9d:3a:8e:85, 02:00:00:00:00:00, -76
1521717012545, 64:f6:9d:3a:8e:86, 02:00:00:00:00:00, -76
1521717012545, 64:f6:9d:43:27:62, 02:00:00:00:00:00, -76
1521717012545, 64:f6:9d:43:27:65, 02:00:00:00:00:00, -76
1521717012546, 64:f6:9d:48:ab:30, 02:00:00:00:00:00, -77
1521717012547, 64:f6:9d:3a:8e:84, 02:00:00:00:00:00, -77
1521717012547, 64:f6:9d:3a:8e:82, 02:00:00:00:00:00, -77
1521717012547, 64:f6:9d:3a:94:05, 02:00:00:00:00:00, -77
1521717012548, 64:f6:9d:48:ab:35, 02:00:00:00:00:00, -78
1521717012548, 64:f6:9d:48:ab:34, 02:00:00:00:00:00, -78
1521717012549, 64:f6:9d:43:22:1b, 02:00:00:00:00:00, -78
